Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  1
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1224,703 	 30378634
20 	 1202,516 	 28124122
40 	 1215,062 	 27500549
80 	 1196,378 	 27520656
160 	 1217,153 	 27662092
320 	 1204,016 	 27602987
640 	 1190,038 	 27575541
1280 	 1177,343 	 27630903
2560 	 1156,741 	 28092048
5120 	 866,4446 	 28744238
10240 	 80,34178 	 31919910
20480 	 3,017004 	 36590090
