Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  0
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1189,771 	 29489692
20 	 1174,01 	 27476126
40 	 1182,865 	 27569450
80 	 1173,337 	 27597632
160 	 1191,878 	 27516329
320 	 1181,453 	 27419464
640 	 1163,565 	 27666537
1280 	 1169,352 	 27759397
2560 	 1139,179 	 27960890
5120 	 856,008 	 28945744
10240 	 77,25956 	 31589492
20480 	 3,022748 	 35942223
