Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  Basic

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  1
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1209,034 	 4631527
20 	 1210,603 	 4039908
40 	 1181,567 	 3768209
80 	 1211,807 	 3926019
160 	 1212,411 	 4088798
320 	 1223,415 	 4059352
640 	 1243,665 	 4272101
1280 	 1224,399 	 4232120
2560 	 1210,231 	 4396857
5120 	 901,025 	 5264950
10240 	 84,77312 	 6221985
20480 	 3,005659 	 7976986
