Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  0
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1474,494 	 2740777
20 	 1488,498 	 2676532
40 	 1495,318 	 2684080
80 	 1461,353 	 2662520
160 	 1452,566 	 2799342
320 	 1468,696 	 2717227
640 	 1462,241 	 2789925
1280 	 1433,741 	 2805642
2560 	 1405,63 	 3118097
5120 	 1292,995 	 4061470
10240 	 70,45709 	 5676827
20480 	 3,028091 	 7286001
