Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1744,791 	 2614171
20 	 1774,581 	 2527657
40 	 1853,96 	 2547488
80 	 1925,891 	 2504468
160 	 1934,623 	 2568764
320 	 1915,282 	 2590880
640 	 1901,214 	 2739512
1280 	 1852,807 	 2794545
2560 	 1688,284 	 3189376
5120 	 1596,612 	 4039865
10240 	 78,99487 	 5635373
20480 	 3,016577 	 7249986
