Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Basic

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1944,695 	 3288391
20 	 1952,95 	 3091864
40 	 1947,738 	 2812449
80 	 1952,306 	 2874188
160 	 1963,983 	 3033635
320 	 1947,907 	 3212409
640 	 1772,538 	 3165567
1280 	 1809,342 	 3186796
2560 	 1870,805 	 3329110
5120 	 1738,211 	 4379193
10240 	 69,06373 	 5958270
20480 	 3,002919 	 7617522
