Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  SailBoat_2

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  0
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1627,505 	 2795227
20 	 1626,659 	 2686201
40 	 1622,588 	 2697452
80 	 1618,346 	 2716275
160 	 1614,414 	 2708932
320 	 1611,552 	 2779572
640 	 1591,137 	 2810783
1280 	 1588,449 	 2850840
2560 	 1563,057 	 3260129
5120 	 1399,226 	 4076209
10240 	 64,8904 	 5190662
20480 	 3,023847 	 7178613
